Região,UF,Município / DSEI,Cód. IBGE,Perfil município
Norte,AC,Acrelândia,120001,Perfil 7 - Extrema Pobreza
Norte,AC,Assis Brasil,120005,Perfil 7 - Extrema Pobreza
Norte,AC,Brasiléia,120010,Perfil 7 - Extrema Pobreza
Norte,AC,Bujari,120013,Perfil 7 - Extrema Pobreza
Norte,AC,Capixaba,120017,Perfil 7 - Extrema Pobreza
Norte,AC,Cruzeiro do Sul,120020,Perfil 7 - Extrema Pobreza
Norte,AC,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO JURUA,120020,Perfil 8 - Saúde Indígena
Norte,AC,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO RIO PURUS,120040,Perfil 8 - Saúde Indígena
Norte,AC,Epitaciolândia,120025,Perfil 7 - Extrema Pobreza
Norte,AC,Feijó,120030,Perfil 7 - Extrema Pobreza
Norte,AC,Jordão,120032,Perfil 7 - Extrema Pobreza
Norte,AC,Mâncio Lima,120033,Perfil 7 - Extrema Pobreza
Norte,AC,Manoel Urbano,120034,Perfil 7 - Extrema Pobreza
Norte,AC,Marechal Thaumaturgo,120035,Perfil 7 - Extrema Pobreza
Norte,AC,Plácido de Castro,120038,Perfil 7 - Extrema Pobreza
Norte,AC,Porto Acre,120080,Perfil 7 - Extrema Pobreza
Norte,AC,Porto Walter,120039,Perfil 7 - Extrema Pobreza
Norte,AC,Rio Branco,120040,Perfil 3 - Capitais e RM
Norte,AC,Rodrigues Alves,120042,Perfil 7 - Extrema Pobreza
Norte,AC,Santa Rosa do Purus,120043,Perfil 7 - Extrema Pobreza
Norte,AC,Sena Madureira,120050,Perfil 7 - Extrema Pobreza
Norte,AC,Senador Guiomard,120045,Perfil 4 - Grupo I do PAB
Norte,AC,Tarauacá,120060,Perfil 7 - Extrema Pobreza
Norte,AC,Xapuri,120070,Perfil 7 - Extrema Pobreza
Nordeste,AL,Água Branca,270010,Perfil 7 - Extrema Pobreza
Nordeste,AL,Anadia,270020,Perfil 7 - Extrema Pobreza
Nordeste,AL,Arapiraca,270030,Perfil 3 - Capitais e RM
Nordeste,AL,Atalaia,270040,Perfil 7 - Extrema Pobreza
Nordeste,AL,Barra de Santo Antônio,270050,Perfil 7 - Extrema Pobreza
Nordeste,AL,Barra de São Miguel,270060,Perfil 3 - Capitais e RM
Nordeste,AL,Batalha,270070,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Belém,270080,Perfil 7 - Extrema Pobreza
Nordeste,AL,Belo Monte,270090,Perfil 7 - Extrema Pobreza
Nordeste,AL,Boca da Mata,270100,Perfil 7 - Extrema Pobreza
Nordeste,AL,Branquinha,270110,Perfil 7 - Extrema Pobreza
Nordeste,AL,Cacimbinhas,270120,Perfil 7 - Extrema Pobreza
Nordeste,AL,Cajueiro,270130,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Campestre,270135,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Campo Alegre,270140,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Campo Grande,270150,Perfil 7 - Extrema Pobreza
Nordeste,AL,Canapi,270160,Perfil 7 - Extrema Pobreza
Nordeste,AL,Capela,270170,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Carneiros,270180,Perfil 7 - Extrema Pobreza
Nordeste,AL,Chã Preta,270190,Perfil 7 - Extrema Pobreza
Nordeste,AL,Coité do Nóia,270200,Perfil 7 - Extrema Pobreza
Nordeste,AL,Colônia Leopoldina,270210,Perfil 7 - Extrema Pobreza
Nordeste,AL,Coqueiro Seco,270220,Perfil 3 - Capitais e RM
Nordeste,AL,Coruripe,270230,Perfil 7 - Extrema Pobreza
Nordeste,AL,Craíbas,270235,Perfil 7 - Extrema Pobreza
Nordeste,AL,Delmiro Gouveia,270240,Perfil 6 - Áreas vulneráveis
Nordeste,AL,DISTRITO SANITARIO ESPECIAL INDIGENA ALAGOAS E SERGIPE,270430,Perfil 8 - Saúde Indígena
Nordeste,AL,Dois Riachos,270250,Perfil 7 - Extrema Pobreza
Nordeste,AL,Estrela de Alagoas,270255,Perfil 7 - Extrema Pobreza
Nordeste,AL,Feira Grande,270260,Perfil 7 - Extrema Pobreza
Nordeste,AL,Feliz Deserto,270270,Perfil 7 - Extrema Pobreza
Nordeste,AL,Flexeiras,270280,Perfil 7 - Extrema Pobreza
Nordeste,AL,Girau do Ponciano,270290,Perfil 7 - Extrema Pobreza
Nordeste,AL,Ibateguara,270300,Perfil 7 - Extrema Pobreza
Nordeste,AL,Igaci,270310,Perfil 7 - Extrema Pobreza
Nordeste,AL,Igreja Nova,270320,Perfil 7 - Extrema Pobreza
Nordeste,AL,Inhapi,270330,Perfil 7 - Extrema Pobreza
Nordeste,AL,Jacaré dos Homens,270340,Perfil 7 - Extrema Pobreza
Nordeste,AL,Jacuípe,270350,Perfil 7 - Extrema Pobreza
Nordeste,AL,Japaratinga,270360,Perfil 7 - Extrema Pobreza
Nordeste,AL,Jaramataia,270370,Perfil 7 - Extrema Pobreza
Nordeste,AL,Jequiá da Praia,270375,Perfil 7 - Extrema Pobreza
Nordeste,AL,Joaquim Gomes,270380,Perfil 7 - Extrema Pobreza
Nordeste,AL,Jundiá,270390,Perfil 7 - Extrema Pobreza
Nordeste,AL,Junqueiro,270400,Perfil 7 - Extrema Pobreza
Nordeste,AL,Lagoa da Canoa,270410,Perfil 7 - Extrema Pobreza
Nordeste,AL,Limoeiro de Anadia,270420,Perfil 7 - Extrema Pobreza
Nordeste,AL,Maceió,270430,Perfil 3 - Capitais e RM
Nordeste,AL,Major Isidoro,270440,Perfil 7 - Extrema Pobreza
Nordeste,AL,Mar Vermelho,270490,Perfil 7 - Extrema Pobreza
Nordeste,AL,Maragogi,270450,Perfil 7 - Extrema Pobreza
Nordeste,AL,Maravilha,270460,Perfil 7 - Extrema Pobreza
Nordeste,AL,Marechal Deodoro,270470,Perfil 3 - Capitais e RM
Nordeste,AL,Maribondo,270480,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Mata Grande,270500,Perfil 7 - Extrema Pobreza
Nordeste,AL,Matriz de Camaragibe,270510,Perfil 7 - Extrema Pobreza
Nordeste,AL,Messias,270520,Perfil 3 - Capitais e RM
Nordeste,AL,Minador do Negrão,270530,Perfil 7 - Extrema Pobreza
Nordeste,AL,Monteirópolis,270540,Perfil 7 - Extrema Pobreza
Nordeste,AL,Murici,270550,Perfil 7 - Extrema Pobreza
Nordeste,AL,Novo Lino,270560,Perfil 7 - Extrema Pobreza
Nordeste,AL,Olho d'Água das Flores,270570,Perfil 7 - Extrema Pobreza
Nordeste,AL,Olho d'Água do Casado,270580,Perfil 7 - Extrema Pobreza
Nordeste,AL,Olho d'Água Grande,270590,Perfil 7 - Extrema Pobreza
Nordeste,AL,Olivença,270600,Perfil 7 - Extrema Pobreza
Nordeste,AL,Ouro Branco,270610,Perfil 7 - Extrema Pobreza
Nordeste,AL,Palestina,270620,Perfil 7 - Extrema Pobreza
Nordeste,AL,Palmeira dos Índios,270630,Perfil 3 - Capitais e RM
Nordeste,AL,Pão de Açúcar,270640,Perfil 7 - Extrema Pobreza
Nordeste,AL,Pariconha,270642,Perfil 7 - Extrema Pobreza
Nordeste,AL,Paripueira,270644,Perfil 3 - Capitais e RM
Nordeste,AL,Passo de Camaragibe,270650,Perfil 7 - Extrema Pobreza
Nordeste,AL,Paulo Jacinto,270660,Perfil 7 - Extrema Pobreza
Nordeste,AL,Penedo,270670,Perfil 7 - Extrema Pobreza
Nordeste,AL,Piaçabuçu,270680,Perfil 7 - Extrema Pobreza
Nordeste,AL,Pilar,270690,Perfil 3 - Capitais e RM
Nordeste,AL,Pindoba,270700,Perfil 7 - Extrema Pobreza
Nordeste,AL,Piranhas,270710,Perfil 7 - Extrema Pobreza
Nordeste,AL,Poço das Trincheiras,270720,Perfil 7 - Extrema Pobreza
Nordeste,AL,Porto Calvo,270730,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Porto de Pedras,270740,Perfil 7 - Extrema Pobreza
Nordeste,AL,Porto Real do Colégio,270750,Perfil 7 - Extrema Pobreza
Nordeste,AL,Quebrangulo,270760,Perfil 7 - Extrema Pobreza
Nordeste,AL,Rio Largo,270770,Perfil 3 - Capitais e RM
Nordeste,AL,Roteiro,270780,Perfil 7 - Extrema Pobreza
Nordeste,AL,Santa Luzia do Norte,270790,Perfil 3 - Capitais e RM
Nordeste,AL,Santana do Ipanema,270800,Perfil 7 - Extrema Pobreza
Nordeste,AL,Santana do Mundaú,270810,Perfil 7 - Extrema Pobreza
Nordeste,AL,São Brás,270820,Perfil 7 - Extrema Pobreza
Nordeste,AL,São José da Laje,270830,Perfil 6 - Áreas vulneráveis
Nordeste,AL,São José da Tapera,270840,Perfil 7 - Extrema Pobreza
Nordeste,AL,São Luís do Quitunde,270850,Perfil 7 - Extrema Pobreza
Nordeste,AL,São Miguel dos Campos,270860,Perfil 2 - Grupo II do PAB
Nordeste,AL,São Miguel dos Milagres,270870,Perfil 7 - Extrema Pobreza
Nordeste,AL,São Sebastião,270880,Perfil 7 - Extrema Pobreza
Nordeste,AL,Satuba,270890,Perfil 3 - Capitais e RM
Nordeste,AL,Senador Rui Palmeira,270895,Perfil 7 - Extrema Pobreza
Nordeste,AL,Tanque d'Arca,270900,Perfil 7 - Extrema Pobreza
Nordeste,AL,Taquarana,270910,Perfil 7 - Extrema Pobreza
Nordeste,AL,Teotônio Vilela,270915,Perfil 7 - Extrema Pobreza
Nordeste,AL,Traipu,270920,Perfil 7 - Extrema Pobreza
Nordeste,AL,União dos Palmares,270930,Perfil 6 - Áreas vulneráveis
Nordeste,AL,Viçosa,270940,Perfil 7 - Extrema Pobreza
Norte,AM,Alvarães,130002,Perfil 7 - Extrema Pobreza
Norte,AM,Amaturá,130006,Perfil 7 - Extrema Pobreza
Norte,AM,Anamã,130008,Perfil 7 - Extrema Pobreza
Norte,AM,Anori,130010,Perfil 7 - Extrema Pobreza
Norte,AM,Apuí,130014,Perfil 6 - Áreas vulneráveis
Norte,AM,Atalaia do Norte,130020,Perfil 7 - Extrema Pobreza
Norte,AM,Autazes,130030,Perfil 7 - Extrema Pobreza
Norte,AM,Barcelos,130040,Perfil 7 - Extrema Pobreza
Norte,AM,Barreirinha,130050,Perfil 7 - Extrema Pobreza
Norte,AM,Benjamin Constant,130060,Perfil 7 - Extrema Pobreza
Norte,AM,Beruri,130063,Perfil 7 - Extrema Pobreza
Norte,AM,Boa Vista do Ramos,130068,Perfil 7 - Extrema Pobreza
Norte,AM,Boca do Acre,130070,Perfil 7 - Extrema Pobreza
Norte,AM,Borba,130080,Perfil 7 - Extrema Pobreza
Norte,AM,Caapiranga,130083,Perfil 7 - Extrema Pobreza
Norte,AM,Canutama,130090,Perfil 7 - Extrema Pobreza
Norte,AM,Carauari,130100,Perfil 7 - Extrema Pobreza
Norte,AM,Careiro,130110,Perfil 7 - Extrema Pobreza
Norte,AM,Careiro da Várzea,130115,Perfil 7 - Extrema Pobreza
Norte,AM,Coari,130120,Perfil 7 - Extrema Pobreza
Norte,AM,Codajás,130130,Perfil 7 - Extrema Pobreza
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO RIO NEGRO,130380,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO SOLIMOES,130406,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA JAVARI,130020,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA MANAUS,130260,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA MEDIO PURUS,130240,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA MEDIO SOLIMOES,130420,Perfil 8 - Saúde Indígena
Norte,AM,DISTRITO SANITARIO ESPECIAL INDIGENA PARINTINS,130340,Perfil 8 - Saúde Indígena
Norte,AM,Eirunepé,130140,Perfil 7 - Extrema Pobreza
Norte,AM,Envira,130150,Perfil 7 - Extrema Pobreza
Norte,AM,Fonte Boa,130160,Perfil 7 - Extrema Pobreza
Norte,AM,Guajará,130165,Perfil 7 - Extrema Pobreza
Norte,AM,Humaitá,130170,Perfil 7 - Extrema Pobreza
Norte,AM,Ipixuna,130180,Perfil 7 - Extrema Pobreza
Norte,AM,Iranduba,130185,Perfil 3 - Capitais e RM
Norte,AM,Itacoatiara,130190,Perfil 7 - Extrema Pobreza
Norte,AM,Itamarati,130195,Perfil 7 - Extrema Pobreza
Norte,AM,Itapiranga,130200,Perfil 7 - Extrema Pobreza
Norte,AM,Japurá,130210,Perfil 7 - Extrema Pobreza
Norte,AM,Juruá,130220,Perfil 7 - Extrema Pobreza
Norte,AM,Jutaí,130230,Perfil 7 - Extrema Pobreza
Norte,AM,Lábrea,130240,Perfil 7 - Extrema Pobreza
Norte,AM,Manacapuru,130250,Perfil 5 - G100
Norte,AM,Manaquiri,130255,Perfil 7 - Extrema Pobreza
Norte,AM,Manaus,130260,Perfil 3 - Capitais e RM
Norte,AM,Manicoré,130270,Perfil 7 - Extrema Pobreza
Norte,AM,Maraã,130280,Perfil 7 - Extrema Pobreza
Norte,AM,Maués,130290,Perfil 7 - Extrema Pobreza
Norte,AM,Nhamundá,130300,Perfil 7 - Extrema Pobreza
Norte,AM,Nova Olinda do Norte,130310,Perfil 7 - Extrema Pobreza
Norte,AM,Novo Airão,130320,Perfil 7 - Extrema Pobreza
Norte,AM,Novo Aripuanã,130330,Perfil 7 - Extrema Pobreza
Norte,AM,Parintins,130340,Perfil 5 - G100
Norte,AM,Pauini,130350,Perfil 7 - Extrema Pobreza
Norte,AM,Presidente Figueiredo,130353,Perfil 3 - Capitais e RM
Norte,AM,Rio Preto da Eva,130356,Perfil 3 - Capitais e RM
Norte,AM,Santa Isabel do Rio Negro,130360,Perfil 7 - Extrema Pobreza
Norte,AM,Santo Antônio do Içá,130370,Perfil 7 - Extrema Pobreza
Norte,AM,São Gabriel da Cachoeira,130380,Perfil 7 - Extrema Pobreza
Norte,AM,São Paulo de Olivença,130390,Perfil 7 - Extrema Pobreza
Norte,AM,São Sebastião do Uatumã,130395,Perfil 7 - Extrema Pobreza
Norte,AM,Silves,130400,Perfil 7 - Extrema Pobreza
Norte,AM,Tabatinga,130406,Perfil 7 - Extrema Pobreza
Norte,AM,Tapauá,130410,Perfil 7 - Extrema Pobreza
Norte,AM,Tefé,130420,Perfil 6 - Áreas vulneráveis
Norte,AM,Tonantins,130423,Perfil 7 - Extrema Pobreza
Norte,AM,Uarini,130426,Perfil 7 - Extrema Pobreza
Norte,AM,Urucará,130430,Perfil 7 - Extrema Pobreza
Norte,AM,Urucurituba,130440,Perfil 7 - Extrema Pobreza
Norte,AP,Amapá,160010,Perfil 7 - Extrema Pobreza
Norte,AP,Calçoene,160020,Perfil 7 - Extrema Pobreza
Norte,AP,Cutias,160021,Perfil 7 - Extrema Pobreza
Norte,AP,DISTRITO SANITARIO ESPECIAL INDIGENA AMAPA/NORTE PARA,160030,Perfil 8 - Saúde Indígena
Norte,AP,Ferreira Gomes,160023,Perfil 7 - Extrema Pobreza
Norte,AP,Itaubal,160025,Perfil 7 - Extrema Pobreza
Norte,AP,Laranjal do Jari,160027,Perfil 7 - Extrema Pobreza
Norte,AP,Macapá,160030,Perfil 3 - Capitais e RM
Norte,AP,Mazagão,160040,Perfil 7 - Extrema Pobreza
Norte,AP,Oiapoque,160050,Perfil 7 - Extrema Pobreza
Norte,AP,Pedra Branca do Amapari,160015,Perfil 6 - Áreas vulneráveis
Norte,AP,Porto Grande,160053,Perfil 6 - Áreas vulneráveis
Norte,AP,Pracuúba,160055,Perfil 7 - Extrema Pobreza
Norte,AP,Santana,160060,Perfil 5 - G100
Norte,AP,Serra do Navio,160005,Perfil 6 - Áreas vulneráveis
Norte,AP,Tartarugalzinho,160070,Perfil 7 - Extrema Pobreza
Norte,AP,Vitória do Jari,160080,Perfil 7 - Extrema Pobreza
Nordeste,BA,Abaíra,290010,Perfil 7 - Extrema Pobreza
Nordeste,BA,Abaré,290020,Perfil 7 - Extrema Pobreza
Nordeste,BA,Acajutiba,290030,Perfil 7 - Extrema Pobreza
Nordeste,BA,Adustina,290035,Perfil 7 - Extrema Pobreza
Nordeste,BA,Água Fria,290040,Perfil 7 - Extrema Pobreza
Nordeste,BA,Aiquara,290060,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Alagoinhas,290070,Perfil 5 - G100
Nordeste,BA,Alcobaça,290080,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Almadina,290090,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Amargosa,290100,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Amélia Rodrigues,290110,Perfil 4 - Grupo I do PAB
Nordeste,BA,América Dourada,290115,Perfil 7 - Extrema Pobreza
Nordeste,BA,Anagé,290120,Perfil 7 - Extrema Pobreza
Nordeste,BA,Andaraí,290130,Perfil 7 - Extrema Pobreza
Nordeste,BA,Andorinha,290135,Perfil 7 - Extrema Pobreza
Nordeste,BA,Angical,290140,Perfil 7 - Extrema Pobreza
Nordeste,BA,Anguera,290150,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Antas,290160,Perfil 7 - Extrema Pobreza
Nordeste,BA,Antônio Cardoso,290170,Perfil 7 - Extrema Pobreza
Nordeste,BA,Antônio Gonçalves,290180,Perfil 7 - Extrema Pobreza
Nordeste,BA,Aporá,290190,Perfil 7 - Extrema Pobreza
Nordeste,BA,Apuarema,290195,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Araças,290205,Perfil 7 - Extrema Pobreza
Nordeste,BA,Aracatu,290200,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Araci,290210,Perfil 7 - Extrema Pobreza
